animal_id,prenatal_exposure,weight,sex,concentration,avgLicks,stimulus
ETF1,alcohol,59,female,0,54.5,nicotine
ETF1,alcohol,59,female,0.1,54.8,nicotine
ETF1,alcohol,59,female,0.3,34.4,nicotine
ETF1,alcohol,59,female,1,46.2,nicotine
ETF1,alcohol,59,female,3,13.6,nicotine
ETF1,alcohol,59,female,6,9.333333333333334,nicotine
ETF2,alcohol,68,female,0,71,nicotine
ETF2,alcohol,68,female,0.1,70,nicotine
ETF2,alcohol,68,female,0.3,30,nicotine
ETF2,alcohol,68,female,1,69,nicotine
ETF2,alcohol,68,female,3,35,nicotine
ETF2,alcohol,68,female,6,37,nicotine
ETF5,alcohol,68,female,0,67.25,nicotine
ETF5,alcohol,68,female,0.1,67.75,nicotine
ETF5,alcohol,68,female,0.3,35.25,nicotine
ETF5,alcohol,68,female,1,50,nicotine
ETF5,alcohol,68,female,3,30.333333333333332,nicotine
ETF5,alcohol,68,female,6,21.5,nicotine
ETF6,alcohol,66,female,0,56.2,nicotine
ETF6,alcohol,66,female,0.1,50.2,nicotine
ETF6,alcohol,66,female,0.3,47,nicotine
ETF6,alcohol,66,female,1,56.6,nicotine
ETF6,alcohol,66,female,3,48,nicotine
ETF6,alcohol,66,female,6,29.8,nicotine
ETF7,alcohol,68,female,0,70.25,nicotine
ETF7,alcohol,68,female,0.1,26,nicotine
ETF7,alcohol,68,female,0.3,68.75,nicotine
ETF7,alcohol,68,female,1,51,nicotine
ETF7,alcohol,68,female,3,38,nicotine
ETF7,alcohol,68,female,6,7.25,nicotine
ETF8,alcohol,69,female,0,67,nicotine
ETF8,alcohol,69,female,0.1,63.5,nicotine
ETF8,alcohol,69,female,0.3,48.333333333333336,nicotine
ETF8,alcohol,69,female,1,49,nicotine
ETF8,alcohol,69,female,3,29.75,nicotine
ETF8,alcohol,69,female,6,34,nicotine
ETF9,alcohol,74,female,0,50.4,nicotine
ETF9,alcohol,74,female,0.1,50.75,nicotine
ETF9,alcohol,74,female,0.3,52,nicotine
ETF9,alcohol,74,female,1,52.4,nicotine
ETF9,alcohol,74,female,3,38,nicotine
ETF9,alcohol,74,female,6,27.6,nicotine
ETF10,alcohol,65,female,0,70.5,nicotine
ETF10,alcohol,65,female,0.1,67.25,nicotine
ETF10,alcohol,65,female,0.3,69.75,nicotine
ETF10,alcohol,65,female,1,68,nicotine
ETF10,alcohol,65,female,3,51,nicotine
ETF10,alcohol,65,female,6,36.75,nicotine
ETF11,alcohol,76,female,0,66.4,nicotine
ETF11,alcohol,76,female,0.1,58,nicotine
ETF11,alcohol,76,female,0.3,64.75,nicotine
ETF11,alcohol,76,female,1,53,nicotine
ETF11,alcohol,76,female,3,47.5,nicotine
ETF11,alcohol,76,female,6,18.4,nicotine
ETM1,alcohol,65,male,0,55.166666666666664,nicotine
ETM1,alcohol,65,male,0.1,57.833333333333336,nicotine
ETM1,alcohol,65,male,0.3,44.833333333333336,nicotine
ETM1,alcohol,65,male,1,53.2,nicotine
ETM1,alcohol,65,male,3,34,nicotine
ETM1,alcohol,65,male,6,13.6,nicotine
ETM2,alcohol,76,male,0,73,nicotine
ETM2,alcohol,76,male,0.1,44.25,nicotine
ETM2,alcohol,76,male,0.3,42.75,nicotine
ETM2,alcohol,76,male,1,72.2,nicotine
ETM2,alcohol,76,male,3,46.25,nicotine
ETM2,alcohol,76,male,6,24.5,nicotine
ETM4,alcohol,72,male,0,65.25,nicotine
ETM4,alcohol,72,male,0.1,54.25,nicotine
ETM4,alcohol,72,male,0.3,48,nicotine
ETM4,alcohol,72,male,1,39.6,nicotine
ETM4,alcohol,72,male,3,43,nicotine
ETM4,alcohol,72,male,6,46.666666666666664,nicotine
ETM5,alcohol,76,male,0,48,nicotine
ETM5,alcohol,76,male,0.1,51.6,nicotine
ETM5,alcohol,76,male,0.3,27,nicotine
ETM5,alcohol,76,male,1,36,nicotine
ETM5,alcohol,76,male,3,28.8,nicotine
ETM5,alcohol,76,male,6,13.666666666666666,nicotine
ETM6,alcohol,64,male,0,69.75,nicotine
ETM6,alcohol,64,male,0.1,46.25,nicotine
ETM6,alcohol,64,male,0.3,61.75,nicotine
ETM6,alcohol,64,male,1,43.6,nicotine
ETM6,alcohol,64,male,3,31.5,nicotine
ETM6,alcohol,64,male,6,27,nicotine
ETM7,alcohol,74,male,0,74.5,nicotine
ETM7,alcohol,74,male,0.1,71.25,nicotine
